N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,토론
184,금호타이어,"4,975",30,+0.61%,"165,254",825,"4,960","4,965","14,277",
185,현대위아,"51,100",200,-0.39%,"35,269","1,813","50,900","51,000","13,897",
186,대신증권,"27,350",0,0.00%,0,0,0,0,"13,836",
187,GS리테일,"16,390",40,-0.24%,"6,002",98,"16,390","16,410","13,703",
188,대웅,"23,300",750,-3.12%,"73,996","1,732","23,250","23,300","13,518",
189,하이트진로,"19,150",50,-0.26%,"10,394",199,"19,120","19,130","13,431",
190,코스모신소재,"41,600",0,0.00%,0,0,0,0,"13,378",
191,한일시멘트,"19,230",170,+0.89%,"7,339",140,"19,180","19,210","13,319",
192,이수스페셜티케미컬,"43,400",300,-0.69%,"102,280","4,466","43,300","43,350","13,110",
193,HDC현대산업개발,"19,610",40,+0.20%,"35,584",690,"19,570","19,590","12,918",
194,오리온홀딩스,"20,550",150,-0.72%,"11,720",241,"20,550","20,600","12,905",
195,HDC,"21,050",200,-0.94%,"5,937",125,"21,050","21,150","12,606",
196,롯데에너지머티리얼즈,"24,000",600,-2.44%,"23,129",563,"24,000","24,100","12,594",
197,SNT에너지,"60,500","1,600",+2.72%,"71,782","4,387","60,200","60,300","12,512",
198,롯데관광개발,"16,020",0,0.00%,0,0,0,0,"12,193",
199,에스디바이오센서,"9,910",10,+0.10%,"5,794",57,"9,900","9,910","12,078",
200,동양생명,"7,370",0,0.00%,0,0,0,0,"12,037",
