55,로보티즈,"94,400","6,500",+7.39%,"2,290,085","214,716","93,800","93,900","12,480",993.68,-3.31
56,PS일렉트로닉스,"4,620",210,-4.35%,"2,282,259","10,679","4,620","4,625","1,996",-49.15,-9.27
57,헝셩그룹,232,2,+0.87%,"2,215,494",511,230,231,436,46.40,0.69
58,삼양컴텍,"18,260",880,-4.60%,"2,161,313","40,019","18,220","18,230","7,525",35.46,38.14
59,앱코,"1,125",25,-2.17%,"1,862,136","2,087","1,115","1,116",570,11.97,8.21
60,블루엠텍,"5,780",300,+5.47%,"1,831,274","10,543","5,770","5,780","1,937",-20.35,N/A
61,알파녹스,"1,763",13,+0.74%,"1,745,421","3,314","1,763","1,766",302,-3.70,-29.00
62,현대바이오,"5,910",190,+3.32%,"1,724,063","10,443","5,860","5,890","5,676",-26.15,-16.36
63,케이프,"9,440",50,+0.53%,"1,713,705","16,644","9,370","9,390","2,917",14.26,7.47
64,삼현,"15,190",740,+5.12%,"1,670,307","25,156","15,250","15,260","4,816",52.38,N/A
65,푸른기술,"8,690",200,+2.36%,"1,626,475","14,453","8,660","8,670",727,39.50,5.39
66,청담글로벌,"7,960",780,-8.92%,"1,495,491","12,191","7,910","7,920","1,676",612.31,2.85
67,샌즈랩,"8,530",750,+9.64%,"1,433,020","12,791","8,500","8,540","1,302",-78.98,-5.21
68,대창솔루션,449,2,+0.45%,"1,414,570",635,449,450,827,-6.70,-10.84
69,디앤디파마텍,"158,600","18,400",+13.12%,"1,333,382","204,269","159,800","160,000","17,162",-45.35,-49.03
70,한선엔지니어링,"7,910",20,+0.25%,"1,296,959","10,766","7,860","7,880","1,366",17.54,7.30
71,우양,"5,010",10,+0.20%,"1,294,459","6,412","5,010","5,020",820,-238.57,-3.06
72,국일신동,"1,658",29,-1.72%,"1,269,423","2,356","1,674","1,676",184,-5.86,-7.58
73,케이쓰리아이,"5,180",380,+7.92%,"1,247,758","6,511","5,200","5,210",388,-7.94,N/A
74,강스템바이오텍,"1,191",2,-0.17%,"1,243,188","1,432","1,177","1,182",668,-4.33,-17.52
